Zone, District, Fiscal Year, Month Name, Diversion Rate-Total (Total Recycling / Total Waste)
Queens West, QW05, 2018, December, 26.7
Queens West, QW09, 2018, December, 26.1
Queens West, QW05, 2019, January, 26.1
Queens West, QW05, 2018, January, 26.0
Queens West, QW09, 2019, November, 24.8
Queens West, QW05, 2019, December, 24.7
Queens West, QW05, 2019, November, 24.6
Queens West, QW09, 2019, January, 24.6
Queens West, QW09, 2018, February, 24.5
Queens West, QW05, 2018, February, 24.5
Queens West, QW05, 2019, February, 24.3
Queens West, QW05, 2019, March, 24.2
Queens West, QW02, 2018, January, 24.0
Queens West, QW05, 2019, September, 23.8
Queens West, QW06, 2019, November, 23.8
Queens West, QW05, 2019, June, 23.8
Queens West, QW02, 2019, January, 23.8
Queens West, QW09, 2019, December, 23.8
Queens West, QW02, 2018, December, 23.7
Queens West, QW05, 2018, April, 23.7
Queens West, QW05, 2018, August, 23.6
Queens West, QW01, 2018, January, 23.5
Queens West, QW06, 2019, December, 23.5
Queens West, QW05, 2019, October, 23.3
Queens West, QW05, 2019, April, 23.3
Queens West, QW01, 2018, February, 23.2
Queens West, QW06, 2019, January, 23.1
Queens West, QW05, 2019, May, 22.9
Queens West, QW05, 2019, July, 22.9
Queens West, QW02, 2018, February, 22.8
Queens West, QW09, 2019, June, 22.8
Queens West, QW05, 2019, August, 22.8
Queens West, QW06, 2018, December, 22.7
Queens West, QW09, 2018, April, 22.5
Queens West, QW09, 2019, March, 22.5
Queens West, QW09, 2019, September, 22.4
Queens West, QW09, 2019, October, 22.1
Queens West, QW09, 2019, February, 22.1
Queens West, QW02, 2019, November, 22.0
Queens West, QW06, 2018, February, 21.9
Queens West, QW02, 2018, April, 21.9
Queens West, QW01, 2019, January, 21.9
Queens West, QW09, 2019, April, 21.8
Queens West, QW02, 2019, September, 21.7
Queens West, QW02, 2019, June, 21.7
Queens West, QW02, 2019, February, 21.7
Queens West, QW02, 2019, December, 21.7
Queens West, QW09, 2019, May, 21.4
Queens West, QW02, 2019, July, 21.4
Queens West, QW02, 2019, August, 21.3
Queens West, QW02, 2019, March, 21.2
Queens West, QW09, 2019, July, 21.2
Queens West, QW06, 2019, February, 21.2
Queens West, QW09, 2019, August, 21.2
Queens West, QW01, 2019, December, 21.1
Queens West, QW01, 2018, December, 21.0
Queens West, QW06, 2018, April, 21.0
Queens West, QW02, 2019, October, 21.0
Queens West, QW02, 2019, April, 21.0
Queens West, QW06, 2019, September, 20.9
Queens West, QW06, 2019, March, 20.7
Queens West, QW06, 2019, July, 20.7
Queens West, QW06, 2018, August, 20.6
Queens West, QW01, 2019, June, 20.6
Queens West, QW06, 2019, October, 20.4
Queens West, QW02, 2019, May, 20.4
Queens West, QW06, 2019, April, 20.4
Queens West, QW01, 2019, March, 20.3
Queens West, QW06, 2019, June, 20.3
Queens West, QW06, 2019, August, 20.3
Queens West, QW01, 2019, November, 20.2
Queens West, QW01, 2019, February, 20.2
Queens West, QW01, 2019, September, 20.0
Queens West, QW01, 2018, April, 19.8
Queens West, QW01, 2019, April, 19.8
Queens West, QW06, 2019, May, 19.7
Queens West, QW01, 2019, August, 19.7
Queens West, QW02, 2018, August, 19.5
Queens West, QW01, 2018, August, 19.4
Queens West, QW01, 2019, October, 19.4
Queens West, QW01, 2019, July, 19.4
Queens West, QW01, 2019, May, 18.8
Queens West, QW09, 2018, August, 17.7
Queens West, QW04, 2018, January, 16.8
Queens West, QW04, 2018, December, 16.8
Queens West, QW04, 2019, January, 16.4
Queens West, QW03, 2018, January, 16.3
Queens West, QW03, 2018, December, 16.1
Queens West, QW03, 2019, January, 16.1
Queens West, QW04, 2019, December, 16.1
Queens West, QW04, 2018, February, 15.6
Queens West, QW03, 2019, December, 15.5
Queens West, QW04, 2019, June, 15.4
Queens West, QW04, 2019, September, 15.3
Queens West, QW04, 2019, February, 15.3
Queens West, QW04, 2018, April, 15.2
Queens West, QW04, 2019, November, 15.1
Queens West, QW04, 2019, July, 15.1
Queens West, QW03, 2018, February, 15.0
Queens West, QW04, 2019, March, 14.9
Queens West, QW04, 2019, April, 14.9
Queens West, QW04, 2019, October, 14.8
Queens West, QW03, 2019, February, 14.8
Queens West, QW04, 2019, August, 14.8
Queens West, QW04, 2018, August, 14.7
Queens West, QW03, 2019, November, 14.7
Queens West, QW03, 2019, September, 14.6
Queens West, QW03, 2019, March, 14.6
Queens West, QW03, 2018, April, 14.4
Queens West, QW04, 2019, May, 14.4
Queens West, QW03, 2019, June, 14.4
Queens West, QW03, 2019, July, 14.1
Queens West, QW03, 2018, August, 14.0
Queens West, QW03, 2019, October, 14.0
Queens West, QW03, 2019, August, 14.0
Queens West, QW03, 2019, April, 13.9
Queens West, QW03, 2019, May, 13.4
