[['S', 'G', 'A', 'M', 'H', 'K', 'R', 'O', 'I', 'T', 'D', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'P'], 1395]
[['A', 'G', 'S', 'D', 'H', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'M'], 1443]
[['S', 'G', 'A', 'M', 'H', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1445]
[['D', 'G', 'A', 'M', 'S', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1477]
[['A', 'G', 'S', 'D', 'H', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'M'], 1482]
[['S', 'G', 'A', 'M', 'H', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1484]
[['S', 'G', 'A', 'M', 'H', 'K', 'R', 'O', 'N', 'T', 'D', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'P'], 1496]
[['D', 'G', 'A', 'M', 'K', 'S', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1555]
[['A', 'G', 'S', 'D', 'H', 'K', 'R', 'O', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'M'], 1556]
[['S', 'G', 'A', 'M', 'H', 'K', 'R', 'O', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1558]
[['D', 'G', 'A', 'M', 'S', 'K', 'R', 'O', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1590]
[['S', 'F', 'A', 'M', 'H', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1603]
[['H', 'G', 'A', 'M', 'S', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1607]
[['H', 'F', 'A', 'M', 'S', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1609]
[['D', 'G', 'A', 'M', 'K', 'S', 'R', 'O', 'I', 'T', 'P', 'N', 'J', 'E', 'Q', 'L', 'C', 'B', 'F', 'H'], 1622]
[['D', 'G', 'M', 'R', 'K', 'S', 'A', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1636]
[['S', 'F', 'A', 'M', 'H', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1642]
[['H', 'G', 'A', 'M', 'S', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1646]
[['H', 'F', 'A', 'M', 'S', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1648]
[['D', 'G', 'A', 'M', 'S', 'E', 'O', 'R', 'I', 'T', 'P', 'N', 'K', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1648]
[['S', 'G', 'A', 'D', 'E', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'H', 'J', 'Q', 'L', 'C', 'B', 'F', 'M'], 1651]
[['S', 'F', 'A', 'M', 'H', 'K', 'R', 'O', 'I', 'P', 'T', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1677]
[['H', 'F', 'A', 'M', 'S', 'K', 'R', 'O', 'I', 'P', 'T', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1683]
[['S', 'M', 'A', 'D', 'H', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'F'], 1685]
[['H', 'G', 'A', 'M', 'K', 'S', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1685]
[['H', 'F', 'A', 'M', 'K', 'S', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1687]
[['A', 'F', 'S', 'D', 'H', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'M'], 1692]
[['H', 'G', 'A', 'K', 'S', 'M', 'R', 'D', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'O'], 1708]
[['D', 'G', 'A', 'R', 'K', 'S', 'F', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'M', 'H'], 1715]
[['D', 'G', 'A', 'R', 'K', 'S', 'F', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'M', 'H'], 1715]
[['S', 'F', 'A', 'M', 'H', 'K', 'R', 'O', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1716]
[['H', 'G', 'A', 'M', 'S', 'K', 'R', 'O', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1720]
[['H', 'F', 'A', 'M', 'S', 'K', 'R', 'O', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1722]
[['S', 'M', 'A', 'D', 'H', 'K', 'R', 'B', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'O', 'G', 'F'], 1724]
